level,file,backend,ratio,input_vertices,input_faces,output_vertices,output_faces,collapses,boundary_rejections,normal_flip_rejections,normalized_error,absolute_error,reached_target,simplify_ms
100,result/web/models/empire_children_e259041b8b89\lod_100.obj,meshopt,1,666205,1331674,666205,1331674,0,0,0,0,0,yes,0
095,result/web/models/empire_children_e259041b8b89\lod_095.obj,meshopt,0.95,666205,1331674,632912,1265086,66588,0,0,0,0,yes,720
090,result/web/models/empire_children_e259041b8b89\lod_090.obj,meshopt,0.9,666205,1331674,599621,1198504,133170,0,0,5.80959e-05,0.00514149,yes,774
085,result/web/models/empire_children_e259041b8b89\lod_085.obj,meshopt,0.85,666205,1331674,566329,1131920,199754,0,0,8.89717e-05,0.00787399,yes,908
080,result/web/models/empire_children_e259041b8b89\lod_080.obj,meshopt,0.8,666205,1331674,533037,1065336,266338,0,0,0.000110032,0.00973786,yes,922
075,result/web/models/empire_children_e259041b8b89\lod_075.obj,meshopt,0.75,666205,1331674,499745,998751,332923,0,0,0.000132919,0.0117634,yes,786
070,result/web/models/empire_children_e259041b8b89\lod_070.obj,meshopt,0.7,666205,1331674,466453,932164,399510,0,0,0.000149502,0.0132309,yes,797
065,result/web/models/empire_children_e259041b8b89\lod_065.obj,meshopt,0.65,666205,1331674,433162,865579,466095,0,0,0.000167151,0.0147928,yes,818
060,result/web/models/empire_children_e259041b8b89\lod_060.obj,meshopt,0.6,666205,1331674,399872,798995,532679,0,0,0.000188122,0.0166488,yes,830
055,result/web/models/empire_children_e259041b8b89\lod_055.obj,meshopt,0.55,666205,1331674,366575,732409,599265,0,0,0.000211428,0.0187114,yes,841
050,result/web/models/empire_children_e259041b8b89\lod_050.obj,meshopt,0.5,666205,1331674,333286,665833,665841,0,0,0.000227906,0.0201697,yes,942
045,result/web/models/empire_children_e259041b8b89\lod_045.obj,meshopt,0.45,666205,1331674,299989,599241,732433,0,0,0.000236388,0.0209203,yes,971
040,result/web/models/empire_children_e259041b8b89\lod_040.obj,meshopt,0.4,666205,1331674,266696,532653,799021,0,0,0.000258949,0.022917,yes,974
035,result/web/models/empire_children_e259041b8b89\lod_035.obj,meshopt,0.35,666205,1331674,233405,466070,865604,0,0,0.000292713,0.0259051,yes,974
030,result/web/models/empire_children_e259041b8b89\lod_030.obj,meshopt,0.3,666205,1331674,200121,399499,932175,0,0,0.000341021,0.0301804,yes,1052
025,result/web/models/empire_children_e259041b8b89\lod_025.obj,meshopt,0.25,666205,1331674,166824,332913,998761,0,0,0.000366208,0.0324094,yes,1067
020,result/web/models/empire_children_e259041b8b89\lod_020.obj,meshopt,0.2,666205,1331674,133532,266326,1065348,0,0,0.00043156,0.0381931,yes,1107
018,result/web/models/empire_children_e259041b8b89\lod_018.obj,meshopt,0.18,666205,1331674,120216,239693,1091981,0,0,0.000480591,0.0425323,yes,1119
016,result/web/models/empire_children_e259041b8b89\lod_016.obj,meshopt,0.16,666205,1331674,106903,213064,1118610,0,0,0.000517899,0.0458341,yes,1212
014,result/web/models/empire_children_e259041b8b89\lod_014.obj,meshopt,0.14,666205,1331674,93585,186426,1145248,0,0,0.000532087,0.0470897,yes,1272
012,result/web/models/empire_children_e259041b8b89\lod_012.obj,meshopt,0.12,666205,1331674,80269,159792,1171882,0,0,0.000610329,0.0540141,yes,1358
010,result/web/models/empire_children_e259041b8b89\lod_010.obj,meshopt,0.1,666205,1331674,66953,133158,1198516,0,0,0.000732393,0.0648167,yes,1198
008,result/web/models/empire_children_e259041b8b89\lod_008.obj,meshopt,0.08,666205,1331674,53640,106533,1225141,0,0,0.000791026,0.0700058,yes,1192
006,result/web/models/empire_children_e259041b8b89\lod_006.obj,meshopt,0.06,666205,1331674,40319,79897,1251777,0,0,0.00103573,0.091662,yes,1202
004,result/web/models/empire_children_e259041b8b89\lod_004.obj,meshopt,0.04,666205,1331674,27002,53255,1278419,0,0,0.00131458,0.11634,yes,1221
003,result/web/models/empire_children_e259041b8b89\lod_003.obj,meshopt,0.03,666205,1331674,20351,39947,1291727,0,0,0.00161933,0.143311,yes,1219
002,result/web/models/empire_children_e259041b8b89\lod_002.obj,meshopt,0.02,666205,1331674,13693,26629,1305045,0,0,0.0022899,0.202656,yes,1258
001,result/web/models/empire_children_e259041b8b89\lod_001.obj,meshopt,0.01,666205,1331674,7045,13317,1318357,0,0,0.00468086,0.414256,yes,1238
