level,file,backend,ratio,input_vertices,input_faces,output_vertices,output_faces,collapses,boundary_rejections,normal_flip_rejections,normalized_error,absolute_error,reached_target,simplify_ms
100,result/web/models/girl_118fd17336c9\lod_100.obj,meshopt,1,166400,332940,166400,332940,0,0,0,0,0,yes,0
095,result/web/models/girl_118fd17336c9\lod_095.obj,meshopt,0.95,166400,332940,158076,316292,16648,0,0,0,0,yes,200
090,result/web/models/girl_118fd17336c9\lod_090.obj,meshopt,0.9,166400,332940,149754,299644,33296,0,0,3.71087e-05,0.0100866,yes,244
085,result/web/models/girl_118fd17336c9\lod_085.obj,meshopt,0.85,166400,332940,141424,282984,49956,0,0,5.90953e-05,0.0160628,yes,204
080,result/web/models/girl_118fd17336c9\lod_080.obj,meshopt,0.8,166400,332940,133101,266338,66602,0,0,7.31785e-05,0.0198908,yes,210
075,result/web/models/girl_118fd17336c9\lod_075.obj,meshopt,0.75,166400,332940,124776,249688,83252,0,0,8.88263e-05,0.024144,yes,213
070,result/web/models/girl_118fd17336c9\lod_070.obj,meshopt,0.7,166400,332940,116452,233040,99900,0,0,0.000101214,0.0275111,yes,205
065,result/web/models/girl_118fd17336c9\lod_065.obj,meshopt,0.65,166400,332940,108128,216390,116550,0,0,0.000116181,0.0315794,yes,224
060,result/web/models/girl_118fd17336c9\lod_060.obj,meshopt,0.6,166400,332940,99811,199756,133184,0,0,0.000131454,0.0357308,yes,233
055,result/web/models/girl_118fd17336c9\lod_055.obj,meshopt,0.55,166400,332940,91485,183100,149840,0,0,0.000139845,0.0380117,yes,235
050,result/web/models/girl_118fd17336c9\lod_050.obj,meshopt,0.5,166400,332940,83161,166452,166488,0,0,0.000149505,0.0406372,yes,234
045,result/web/models/girl_118fd17336c9\lod_045.obj,meshopt,0.45,166400,332940,74837,149804,183136,0,0,0.000169906,0.0461825,yes,243
040,result/web/models/girl_118fd17336c9\lod_040.obj,meshopt,0.4,166400,332940,66523,133174,199766,0,0,0.00019555,0.0531529,yes,256
035,result/web/models/girl_118fd17336c9\lod_035.obj,meshopt,0.35,166400,332940,58196,116518,216422,0,0,0.000213203,0.0579512,yes,250
030,result/web/models/girl_118fd17336c9\lod_030.obj,meshopt,0.3,166400,332940,49873,99872,233068,0,0,0.000236365,0.0642469,yes,251
025,result/web/models/girl_118fd17336c9\lod_025.obj,meshopt,0.25,166400,332940,41550,83226,249714,0,0,0.000279697,0.076025,yes,249
020,result/web/models/girl_118fd17336c9\lod_020.obj,meshopt,0.2,166400,332940,33228,66580,266360,0,0,0.000322958,0.0877839,yes,259
018,result/web/models/girl_118fd17336c9\lod_018.obj,meshopt,0.18,166400,332940,29898,59920,273020,0,0,0.000345262,0.0938464,yes,283
016,result/web/models/girl_118fd17336c9\lod_016.obj,meshopt,0.16,166400,332940,26568,53260,279680,0,0,0.000385947,0.104905,yes,295
014,result/web/models/girl_118fd17336c9\lod_014.obj,meshopt,0.14,166400,332940,23239,46602,286338,0,0,0.000448344,0.121865,yes,258
012,result/web/models/girl_118fd17336c9\lod_012.obj,meshopt,0.12,166400,332940,19914,39946,292994,0,0,0.000480573,0.130625,yes,270
010,result/web/models/girl_118fd17336c9\lod_010.obj,meshopt,0.1,166400,332940,16586,33284,299656,0,0,0.000545872,0.148374,yes,258
008,result/web/models/girl_118fd17336c9\lod_008.obj,meshopt,0.08,166400,332940,13256,26626,306314,0,0,0.000679642,0.184735,yes,265
006,result/web/models/girl_118fd17336c9\lod_006.obj,meshopt,0.06,166400,332940,9928,19960,312980,0,0,0.000808408,0.219735,yes,308
004,result/web/models/girl_118fd17336c9\lod_004.obj,meshopt,0.04,166400,332940,6605,13306,319634,0,0,0.00111872,0.30408,yes,275
003,result/web/models/girl_118fd17336c9\lod_003.obj,meshopt,0.03,166400,332940,4938,9966,322974,0,0,0.00133713,0.363447,yes,272
002,result/web/models/girl_118fd17336c9\lod_002.obj,meshopt,0.02,166400,332940,3280,6626,326314,0,0,0.00175578,0.477243,yes,293
001,result/web/models/girl_118fd17336c9\lod_001.obj,meshopt,0.01,166400,332940,1634,3306,329634,0,0,0.00284628,0.773652,yes,267
