level,file,backend,ratio,input_vertices,input_faces,output_vertices,output_faces,collapses,boundary_rejections,normal_flip_rejections,normalized_error,absolute_error,reached_target,simplify_ms
100,result/web/models/horse_3d_model_4b0c341d9387\lod_100.obj,meshopt,1,95130,190272,95130,190272,0,0,0,0,0,yes,0
095,result/web/models/horse_3d_model_4b0c341d9387\lod_095.obj,meshopt,0.95,95130,190272,90373,180758,9514,0,0,0.00012203,0.00551652,yes,110
090,result/web/models/horse_3d_model_4b0c341d9387\lod_090.obj,meshopt,0.9,95130,190272,85616,171244,19028,0,0,0.000187678,0.00848424,yes,109
085,result/web/models/horse_3d_model_4b0c341d9387\lod_085.obj,meshopt,0.85,95130,190272,80860,161732,28540,0,0,0.000232337,0.0105031,yes,109
080,result/web/models/horse_3d_model_4b0c341d9387\lod_080.obj,meshopt,0.8,95130,190272,76103,152218,38054,0,0,0.000266036,0.0120265,yes,110
075,result/web/models/horse_3d_model_4b0c341d9387\lod_075.obj,meshopt,0.75,95130,190272,71346,142704,47568,0,0,0.000298997,0.0135166,yes,110
070,result/web/models/horse_3d_model_4b0c341d9387\lod_070.obj,meshopt,0.7,95130,190272,66589,133190,57082,0,0,0.000328683,0.0148585,yes,111
065,result/web/models/horse_3d_model_4b0c341d9387\lod_065.obj,meshopt,0.65,95130,190272,61832,123676,66596,0,0,0.000366163,0.0165529,yes,108
060,result/web/models/horse_3d_model_4b0c341d9387\lod_060.obj,meshopt,0.6,95130,190272,57076,114164,76108,0,0,0.000395529,0.0178804,yes,109
055,result/web/models/horse_3d_model_4b0c341d9387\lod_055.obj,meshopt,0.55,95130,190272,52319,104650,85622,0,0,0.000431555,0.019509,yes,140
050,result/web/models/horse_3d_model_4b0c341d9387\lod_050.obj,meshopt,0.5,95130,190272,47562,95136,95136,0,0,0.000464809,0.0210123,yes,120
045,result/web/models/horse_3d_model_4b0c341d9387\lod_045.obj,meshopt,0.45,95130,190272,42805,85622,104650,0,0,0.000488274,0.0220731,yes,124
040,result/web/models/horse_3d_model_4b0c341d9387\lod_040.obj,meshopt,0.4,95130,190272,38048,76108,114164,0,0,0.00053208,0.0240534,yes,121
035,result/web/models/horse_3d_model_4b0c341d9387\lod_035.obj,meshopt,0.35,95130,190272,33292,66596,123676,0,0,0.000585397,0.0264636,yes,121
030,result/web/models/horse_3d_model_4b0c341d9387\lod_030.obj,meshopt,0.3,95130,190272,28535,57082,133190,0,0,0.000668578,0.030224,yes,119
025,result/web/models/horse_3d_model_4b0c341d9387\lod_025.obj,meshopt,0.25,95130,190272,23778,47568,142704,0,0,0.000720407,0.0325669,yes,140
020,result/web/models/horse_3d_model_4b0c341d9387\lod_020.obj,meshopt,0.2,95130,190272,19021,38054,152218,0,0,0.000845661,0.0382292,yes,136
018,result/web/models/horse_3d_model_4b0c341d9387\lod_018.obj,meshopt,0.18,95130,190272,17118,34248,156024,0,0,0.00091344,0.0412933,yes,135
016,result/web/models/horse_3d_model_4b0c341d9387\lod_016.obj,meshopt,0.16,95130,190272,15216,30444,159828,0,0,0.00103303,0.0466993,yes,141
014,result/web/models/horse_3d_model_4b0c341d9387\lod_014.obj,meshopt,0.14,95130,190272,13313,26638,163634,0,0,0.00106411,0.0481047,yes,141
012,result/web/models/horse_3d_model_4b0c341d9387\lod_012.obj,meshopt,0.12,95130,190272,11409,22830,167442,0,0,0.00119361,0.0539587,yes,143
010,result/web/models/horse_3d_model_4b0c341d9387\lod_010.obj,meshopt,0.1,95130,190272,9507,19026,171246,0,0,0.00138089,0.0624251,yes,137
008,result/web/models/horse_3d_model_4b0c341d9387\lod_008.obj,meshopt,0.08,95130,190272,7605,15222,175050,0,0,0.0015438,0.0697895,yes,127
006,result/web/models/horse_3d_model_4b0c341d9387\lod_006.obj,meshopt,0.06,95130,190272,5702,11416,178856,0,0,0.00201223,0.0909653,yes,128
004,result/web/models/horse_3d_model_4b0c341d9387\lod_004.obj,meshopt,0.04,95130,190272,3799,7610,182662,0,0,0.00253639,0.114661,yes,134
003,result/web/models/horse_3d_model_4b0c341d9387\lod_003.obj,meshopt,0.03,95130,190272,2848,5708,184564,0,0,0.00323824,0.146389,yes,134
002,result/web/models/horse_3d_model_4b0c341d9387\lod_002.obj,meshopt,0.02,95130,190272,1897,3806,186466,0,0,0.0044723,0.202176,yes,133
001,result/web/models/horse_3d_model_4b0c341d9387\lod_001.obj,meshopt,0.01,95130,190272,945,1902,188370,0,0,0.00727314,0.328792,yes,138
