level,file,backend,ratio,input_vertices,input_faces,output_vertices,output_faces,collapses,boundary_rejections,normal_flip_rejections,normalized_error,absolute_error,reached_target,simplify_ms
100,result/web/models/indoor_plant_02_eafb7985f897\lod_100.obj,meshopt,1,25075,45840,25075,45840,0,0,0,0,0,yes,0
095,result/web/models/indoor_plant_02_eafb7985f897\lod_095.obj,meshopt,0.95,25075,45840,23926,43548,2292,0,0,6.41532e-05,0.00060908,yes,26
090,result/web/models/indoor_plant_02_eafb7985f897\lod_090.obj,meshopt,0.9,25075,45840,22779,41256,4584,0,0,0.000103421,0.000981891,yes,25
085,result/web/models/indoor_plant_02_eafb7985f897\lod_085.obj,meshopt,0.85,25075,45840,21633,38964,6876,0,0,0.000136438,0.00129536,yes,25
080,result/web/models/indoor_plant_02_eafb7985f897\lod_080.obj,meshopt,0.8,25075,45840,20486,36672,9168,0,0,0.000172613,0.00163881,yes,25
075,result/web/models/indoor_plant_02_eafb7985f897\lod_075.obj,meshopt,0.75,25075,45840,19335,34380,11460,0,0,0.000205288,0.00194903,yes,29
070,result/web/models/indoor_plant_02_eafb7985f897\lod_070.obj,meshopt,0.7,25075,45840,18186,32088,13752,0,0,0.000240224,0.00228072,yes,28
065,result/web/models/indoor_plant_02_eafb7985f897\lod_065.obj,meshopt,0.65,25075,45840,17031,29796,16044,0,0,0.000298932,0.0028381,yes,28
060,result/web/models/indoor_plant_02_eafb7985f897\lod_060.obj,meshopt,0.6,25075,45840,15859,27504,18336,0,0,0.000366209,0.00347684,yes,31
055,result/web/models/indoor_plant_02_eafb7985f897\lod_055.obj,meshopt,0.55,25075,45840,14669,25212,20628,0,0,0.000422823,0.00401434,yes,31
050,result/web/models/indoor_plant_02_eafb7985f897\lod_050.obj,meshopt,0.5,25075,45840,13399,22920,22920,0,0,0.000517768,0.00491576,yes,30
045,result/web/models/indoor_plant_02_eafb7985f897\lod_045.obj,meshopt,0.45,25075,45840,12092,20628,25212,0,0,0.000610179,0.00579312,yes,31
040,result/web/models/indoor_plant_02_eafb7985f897\lod_040.obj,meshopt,0.4,25075,45840,10777,18336,27504,0,0,0.000690436,0.00655509,yes,33
035,result/web/models/indoor_plant_02_eafb7985f897\lod_035.obj,meshopt,0.35,25075,45840,9518,16044,29796,0,0,0.000845678,0.00802898,yes,32
030,result/web/models/indoor_plant_02_eafb7985f897\lod_030.obj,meshopt,0.3,25075,45840,8249,13752,32088,0,0,0.00100658,0.00955664,yes,32
025,result/web/models/indoor_plant_02_eafb7985f897\lod_025.obj,meshopt,0.25,25075,45840,7044,11460,34380,0,0,0.00111876,0.0106216,yes,32
020,result/web/models/indoor_plant_02_eafb7985f897\lod_020.obj,meshopt,0.2,25075,45840,5785,9168,36672,0,0,0.00131348,0.0124703,yes,33
018,result/web/models/indoor_plant_02_eafb7985f897\lod_018.obj,meshopt,0.18,25075,45840,5267,8252,37588,0,0,0.0014232,0.0135121,yes,33
016,result/web/models/indoor_plant_02_eafb7985f897\lod_016.obj,meshopt,0.16,25075,45840,4741,7334,38506,0,0,0.0015822,0.0150216,yes,32
014,result/web/models/indoor_plant_02_eafb7985f897\lod_014.obj,meshopt,0.14,25075,45840,4234,6418,39422,0,0,0.00175734,0.0166845,yes,32
012,result/web/models/indoor_plant_02_eafb7985f897\lod_012.obj,meshopt,0.12,25075,45840,3684,5500,40340,0,0,0.00197267,0.0187288,yes,32
010,result/web/models/indoor_plant_02_eafb7985f897\lod_010.obj,meshopt,0.1,25075,45840,3152,4584,41256,0,0,0.0022365,0.0212337,yes,33
008,result/web/models/indoor_plant_02_eafb7985f897\lod_008.obj,meshopt,0.08,25075,45840,2616,3668,42172,0,0,0.0027604,0.0262076,yes,32
006,result/web/models/indoor_plant_02_eafb7985f897\lod_006.obj,meshopt,0.06,25075,45840,2073,2750,43090,0,0,0.00344517,0.0327089,yes,33
004,result/web/models/indoor_plant_02_eafb7985f897\lod_004.obj,meshopt,0.04,25075,45840,1513,1832,44008,0,0,0.00494441,0.046943,yes,33
003,result/web/models/indoor_plant_02_eafb7985f897\lod_003.obj,meshopt,0.03,25075,45840,1209,1370,44470,0,0,0.00703834,0.0668229,yes,33
002,result/web/models/indoor_plant_02_eafb7985f897\lod_002.obj,meshopt,0.02,25075,45840,917,916,44924,0,0,0.0119279,0.113245,yes,34
001,result/web/models/indoor_plant_02_eafb7985f897\lod_001.obj,meshopt,0.01,25075,45840,582,578,45262,0,0,0.114186,1.0841,no,34
